Wavelength,Cristal_T,Vidrio_T,Acetato_T,Cristal_Abs,Vidrio_Abs,Acetato_R,Cristal_R,Vidrio_R,Acetato_Abs
2500.0,91.43193054,88.65403748,76.46645355,0.03967254609,0.05187251046,0.7814478874,0.3189556003,0.5788112879,0.1142645031
2499.0,91.38287354,88.66169739,76.91982269,0.03965280578,0.0518290177,0.7827664018,0.4204569459,0.6051440239,0.1126147881
2498.0,91.3502121,88.66400909,77.02610016,0.03962121531,0.05178935453,0.7974002361,0.3785906434,0.5963113308,0.1130115166
2497.0,91.32097626,88.66856384,76.76552582,0.03956450149,0.05176249519,0.7722221017,0.3632254601,0.5643416643,0.1155219898
2496.0,91.32196045,88.68138123,76.10579681,0.03945617005,0.0517334193,0.7933068275,0.3378494382,0.5707162619,0.1203022376
2495.0,91.33299255,88.68240356,75.12043762,0.03943057358,0.05171379447,0.7256644964,0.3208204508,0.5653482676,0.1267467141
2494.0,91.36831665,88.68706512,73.92638397,0.03937688842,0.05169807747,0.7051122189,0.334648937,0.5098880529,0.1342826635
2493.0,91.40725708,88.69810486,72.5635376,0.03939338401,0.05165620893,0.7254301906,0.346250236,0.5385636091,0.1425341964
2492.0,91.4424057,88.69458771,71.19506073,0.03946025297,0.05165274069,0.7544215322,0.3744337261,0.572011888,0.1506749392
2491.0,91.46842957,88.70429993,69.87116241,0.03953228891,0.05161090568,0.7648077011,0.3268971443,0.5599399209,0.1583655626
2490.0,91.47397614,88.70952606,68.67186737,0.03958693147,0.05159242079,0.7362005115,0.3402541876,0.5767368078,0.1650700867
2489.0,91.45783997,88.72025299,67.72311401,0.03963088617,0.05154779181,0.7404316068,0.3747127354,0.5896612406,0.1701879948
2488.0,91.42189026,88.72311401,66.97696686,0.03964341804,0.05153129622,0.6951602101,0.316696167,0.5740616322,0.1739381701
2487.0,91.3859787,88.72711182,66.43184662,0.03960479423,0.05147006363,0.7324103713,0.3727615476,0.6029664278,0.1765287519
2486.0,91.34822845,88.73343658,66.01535034,0.03958182409,0.05145822838,0.7173366547,0.3499129713,0.5559537411,0.178490147
